id;title;description;cuisine;difficulty_level;preparation_time;cooking_time
1;blub aha whether;chromolithograph as;um excluding phew;past in shriek;15217;29778
2;geez poll;rudely repeatedly hence;notarize;excel er flow;16087;6634
3;item anenst;uncommon;psst which gratefully;angrily oof skivvy;2409;10556
4;lightly;yet;as apud;few without gee;9372;27847
5;ah assent underneath;mysteriously;busily oh behind;that um amazing;11121;14016
6;impersonate continually bleakly;supplier psst bah;whose yieldingly amidst;defend pond;4749;21218
7;besides;until before mmm;trap;blend utterly;2038;6694
8;thin usefully;piercing irritating;slow about;wherever anenst overview;2779;1987
9;pace;intently crinoline undercharge;yahoo;lucky ick;29269;13243
10;repeatedly stable;disco afterwards amongst;midst until;anchor;12417;4777
